Value	Counts	Error	SimpleError
9.9908000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908015000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908030000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908045000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908060000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908075000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908090000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908105000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908120000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908135000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908150000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908165000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908180000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908195000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908210000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908225000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908240000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908255000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908270000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908285000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908300000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908315000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908330000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908345000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908360000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908375000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908390000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908405000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908420000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908435000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908450000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908465000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908480000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908495000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908510000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908525000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908540000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908555000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908570000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908585000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908600000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908615000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908630000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908645000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.9908660000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
